warmup_step:1/20
warmup_step:2/20
warmup_step:3/20
warmup_step:4/20
warmup_step:5/20
warmup_step:6/20
warmup_step:7/20
warmup_step:8/20
warmup_step:9/20
warmup_step:10/20
warmup_step:11/20
warmup_step:12/20
warmup_step:13/20
warmup_step:14/20
warmup_step:15/20
warmup_step:16/20
warmup_step:17/20
warmup_step:18/20
warmup_step:19/20
warmup_step:20/20
step:0/20000 val_loss:6.9344 val_bpb:4.1069 train_time:0ms step_avg:0.02ms
step:2360/20000 train_loss:2.2566 train_time:1294469ms step_avg:548.50ms
step:2370/20000 train_loss:2.1979 train_time:1299952ms step_avg:548.50ms
step:2380/20000 train_loss:2.1830 train_time:1305437ms step_avg:548.50ms
step:2390/20000 train_loss:2.1820 train_time:1310921ms step_avg:548.50ms
step:2400/20000 train_loss:2.2059 train_time:1316405ms step_avg:548.50ms
step:2410/20000 train_loss:2.2795 train_time:1321889ms step_avg:548.50ms
step:2420/20000 train_loss:2.1847 train_time:1327374ms step_avg:548.50ms
step:2430/20000 train_loss:2.0377 train_time:1332858ms step_avg:548.50ms
step:2440/20000 train_loss:2.2192 train_time:1338343ms step_avg:548.50ms
step:2450/20000 train_loss:2.2028 train_time:1343827ms step_avg:548.50ms
step:2460/20000 train_loss:2.2753 train_time:1349311ms step_avg:548.50ms
step:2470/20000 train_loss:2.0439 train_time:1354794ms step_avg:548.50ms
step:2480/20000 train_loss:2.2563 train_time:1360279ms step_avg:548.50ms
step:2490/20000 train_loss:2.1600 train_time:1365761ms step_avg:548.50ms
step:2500/20000 train_loss:2.1963 train_time:1371246ms step_avg:548.50ms
step:2510/20000 train_loss:2.2028 train_time:1376730ms step_avg:548.50ms
step:2520/20000 train_loss:2.1167 train_time:1382216ms step_avg:548.50ms
step:2530/20000 train_loss:2.2201 train_time:1387699ms step_avg:548.50ms
step:2540/20000 train_loss:2.2085 train_time:1393183ms step_avg:548.50ms
step:2550/20000 train_loss:2.1770 train_time:1398667ms step_avg:548.50ms
step:2560/20000 train_loss:2.1891 train_time:1404151ms step_avg:548.50ms
step:2570/20000 train_loss:2.1679 train_time:1409634ms step_avg:548.50ms
step:2580/20000 train_loss:2.2687 train_time:1415119ms step_avg:548.50ms
step:2590/20000 train_loss:2.1872 train_time:1420601ms step_avg:548.49ms
step:2600/20000 train_loss:2.2936 train_time:1426085ms step_avg:548.49ms
step:2610/20000 train_loss:2.2499 train_time:1431570ms step_avg:548.49ms
step:2620/20000 train_loss:2.1585 train_time:1437054ms step_avg:548.49ms
step:2630/20000 train_loss:2.2483 train_time:1442538ms step_avg:548.49ms
step:2640/20000 train_loss:2.1594 train_time:1448023ms step_avg:548.49ms
